N°,,Code Projet,,Client,Marque,Modèle,Kg,Type de l'essai,Réception échantillons,,,,En cours,,Achevés,,Confirmation,,Offre de prix,Facturation,,Délai de réalisation / essai  (jours),Délai de traitement de dossier  (jours),,Rapport d'essai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Date,Récep,Stock,Etat,,,,,,,Montant HT,Montant HT,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,A371,A371253,ELECTRO SERVICE,TELEFUNKEN,TL0610T0W,6,Classification,1/30/25,,,Rendu,,,1,1,,,"5,000.000","5,000.000",2/21/25,6,28,Dans les délais,2/27/25,,,,,,,1,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,A371,A371256,CONDOR ELECTRONICS INTERNATIONAL,Condor,WF6-A12,6,Classification,2/4/25,,,Rendu,,,1,1,,,"4,000.000","4,000.000",2/13/25,36,45,Hors délais,3/21/25,,,,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,A373,A373255,NEWSTAR,NEWSTAR,MFA0810,8,Classification,1/30/25,,,Rendu,,,1,1,,,"9,500.000","9,500.000",2/7/25,27,40,Dans les délais,3/6/25,,,,,,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,A373,A373255,,NEWSTAR,MFA0910,9,Classification,1/30/25,,,Rendu,,,,1,,,,,2/7/25,32,,Hors délais,3/11/25,,,,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,A373,A373257,MONDIAL CONFORT,Beko,B3WFT51242MG,12,Classification,2/4/25,,,Rendu,,,1,1,,,"5,000.000","5,000.000",2/10/25,10,16,Dans les délais,2/20/25,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16,A373,A373258,CROCUS COMPANY TRAIDING,AZUR,AZ1210T2T,12,Classification,2/13/25,,,Rendu / sans essai,,,1,1,,,"5,000.000",0.000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,A371,A371257,CROCUS COMPANY TRAIDING,AZUR,,,Classification,2/13/25,1,,reçu,,,,,1,1,"5,000.000",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,A373,A373259,El Athir Service,CANDY,RO1411DMCRT,11,Classification,2/14/25,,,Rendu,,,1,1,,,"5,000.000","5,000.000",3/12/25,21,47,Dans les délais,4/2/25,,,,,,,1,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19,A371,A371258,CONDOR ELECTRONICS INTERNATIONAL,Condor,CON-G610S,6,Classification,3/7/25,,,Rendu,,,1,1,,,"4,000.000","4,000.000",3/18/25,21,32,Dans les délais,4/8/25,,,,,,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,A373,A3732510,MONDIAL CONFORT,Beko,BM1WFU36200BW,6,Classification,4/3/25,,,Rendu,,,1,1,,,"9,500.000","9,500.000",4/10/25,14,21,Dans les délais,4/24/25,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
